
000, bar, object
001, flame tongue, blast
002, zoom, effect
003, blizzard, blast
004, maw,
005, pow, blast
006, zap shield, effect
007, goggles, effect
008, flag, object
009, mirror, object
00a, thorn sword, weapon
00b, crown coin, object
00c, bird foot, minion
00d, rocket, blast
00e, claw, minion
00f, balance, object
010, cannon, minion
011, coffin, object
012, ring, weapon
013, crucify, effect
014, mask, minion
015, skull, minion
016, wyvern, minion
017, bottle, object
018, sever, blast
019, bottle fire, object
01a, lion, minion
01b, lizard man, minion
01c, organs, effect
01d, imp, minion
01e, love potion, object
01f, claw emblem, object
020, eyes, minion
021, hydra, minion
022, potion, object
023, guitar, weapon
024, apple worm, minion
025, spy, minion
026, fire spade, blast
027, bird, minion
028, hammer, weapon
029, bombs, weapon
02a, kneel, effect
02b, mutilate, blast
02c, trident, weapon
02d, shatter, blast
02e, pierce, blast
02f, electric trap, object
030, 2 headed dragon, minion
031, snake sword, weapon
032, duality, effect
033, death book, object
034, spear wall, minion
035, compass, object
036, moonbeam, blast
037, rapier, weapon
038, wave, blast
039, shade, minion
03a, serpent, minion
03b, vortex, blast
03c, zap, blast
03d, pain, effect
03e, wtf, effect
03f, lizard, minion
040, shaman, minion
041, potion cloud, blast
042, star, effect
043, castle, minion
044, dagger, weapon
045, gear, weapon
046, candelabra, object
047, raven, minion
048, flower, object
049, curse, effect
04a, talon, object
04b, snake arrow, weapon
04c, water blast, blast
04d, claw, blast
04e, cutlass, weapon
04f, shield, weapon
050, health, effect
051, rally, effect
052, tomb, object
053, chalice, object
054, king heart, effect
055, bolster, effect
056, brainboost, effect
057, mind zap, effect
058, strike, blast
059, apple, object
05a, spellbook, blast
05b, housefire, effect
05c, bat sword, weapon
05d, lightning sword, weapon
05e, bow and arrow, weapon
05f, bloody altar, object
060, brain drain, effect
061, blossom, object
062, twin blades, weapon
063, injure, effect
064, arrow volley, blast
065, trilobite, minion, 1/3 armor+1
066, tree, object
067, wolverine, minion, 2/1 counterattack+1
068, werewolf, minion
069, bandage, effect, life+3
06a, pixie dust, object
06b, fire powder, object
06c, direct hit, blast
06d, echolocation, effect
06e, concussive force, blast
06f, mining, effect
070, ring, object
071, body shot, effect
072, alter ego, effect
073, radiation ray, effect
074, galactic portal, effect
075, energy nebulus, effect
076, foosball, object
077, power note, effect
078, gay swan, minion
079, bread, object



http://game-icons.net/























